userId,movieId,tagName,timestampTag
18,431,Al Pacino,2016-05-01 21:39:25
18,431,gangster,2016-05-01 21:39:09
18,431,mafia,2016-05-01 21:39:15
62,2,fantasy,2018-06-12 22:52:09
62,2,magic board game,2018-06-12 22:52:12
62,2,Robin Williams,2018-06-12 22:51:47
62,110,beautiful scenery,2018-06-04 22:49:01
62,110,epic,2018-06-04 22:48:52
62,110,historical,2018-06-04 22:48:43
62,110,inspirational,2018-06-04 22:48:47
62,110,Medieval,2018-06-04 22:48:48
62,110,mel gibson,2018-06-04 22:48:41
62,110,Oscar (Best Cinematography),2018-06-04 22:48:59
62,110,revenge,2018-06-04 22:48:51
62,110,sword fight,2018-06-04 22:48:55
62,410,black comedy,2018-05-06 19:56:47
62,410,Christina Ricci,2018-05-06 19:58:05
62,410,Christopher Lloyd,2018-05-06 19:57:02
62,410,dark comedy,2018-05-06 19:56:50
62,410,family,2018-05-06 19:58:28
62,410,gothic,2018-05-06 19:56:49
63,260,classic,2015-09-25 16:48:18
63,260,space action,2015-09-25 16:48:30
76,260,action,2015-08-10 00:13:14
76,260,sci-fi,2015-08-10 00:13:08
103,260,EPIC,2015-05-18 13:05:12
103,260,great soundtrack,2015-05-18 13:05:37
103,296,good dialogue,2015-05-18 13:09:15
103,296,great soundtrack,2015-05-18 13:09:15
103,296,non-linear,2015-05-18 13:09:15
112,260,classic sci-fi,2015-09-18 00:21:22
112,260,engrossing adventure,2015-09-18 00:21:13
112,260,EPIC,2015-09-18 00:21:06
119,260,classic,2015-07-03 16:55:30
119,260,Nerd,2015-07-03 16:55:20
166,293,assassin,2007-09-02 23:08:04
166,293,Jean Reno,2007-09-02 23:08:07
167,104,test tag,2006-08-04 19:14:32
193,260,classic sci-fi,2015-07-02 17:09:00
193,260,space action,2015-07-02 17:09:15
193,260,space epic,2015-07-02 17:09:10
205,260,oldie but goodie,2018-03-01 10:11:41
205,260,sci-fi,2018-03-01 10:11:18
205,260,Star Wars,2018-03-01 10:11:48
289,3,moldy,2006-03-27 02:01:00
289,3,old,2006-03-27 02:01:00
289,527,moving,2006-03-27 02:01:35
318,778,based on a book,2010-02-17 12:11:50
318,778,dark comedy,2010-02-17 12:11:47
318,778,narrated,2010-02-17 12:11:43
319,364,Disney,2016-04-22 19:04:58
319,364,Disney animated feature,2016-04-22 19:05:08
319,364,Oscar (Best Music - Original Score),2016-04-22 19:05:19
336,1,pixar,2006-02-04 09:36:04
336,153,superhero,2006-02-04 09:37:20
336,552,knights,2006-02-04 09:37:05
341,260,ROBOTS AND ANDROIDS,2015-08-16 18:49:16
341,260,space,2015-08-16 18:49:21
357,39,chick flick,2012-09-26 02:51:07
357,39,funny,2012-09-26 02:51:09
357,39,Paul Rudd,2012-09-26 02:51:11
357,39,quotable,2012-09-26 02:51:13
357,39,seen more than once,2012-09-26 02:51:18
424,32,time travel,2016-03-13 20:44:32
424,47,mystery,2016-03-13 04:14:30
424,47,twist ending,2016-03-13 04:14:18
424,50,mindfuck,2016-03-13 04:12:08
424,50,suspense,2016-03-13 04:11:55
424,50,thriller,2016-03-13 04:12:12
424,50,tricky,2016-03-13 04:12:20
424,50,twist ending,2016-03-13 04:11:46
424,147,addiction,2016-03-13 20:40:27
424,147,heroin,2016-03-13 20:40:31
